Product_ID,Specs
43,"Canon  SX540 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
44,"Canon  SX420 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
45,"Canon  M10 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
46,"Canon  G5 X comes with a  13.2 x 8.8 mm CMOS sensor, which has a diagonal of  15.86 mm (0.62"") and a surface area of 116.16 mm²."
47,"Canon  G9 X comes with a  13.2 x 8.8 mm CMOS sensor, which has a diagonal of  15.86 mm (0.62"") and a surface area of 116.16 mm²."
48,"Canon  G3 X comes with a  13.2 x 8.8 mm CMOS sensor, which has a diagonal of  15.86 mm (0.62"") and a surface area of 116.16 mm²."
49,"Canon  M3 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
50,"Canon  Rebel T6s comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
51,"Canon  Rebel T6i comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
52,"Canon  5DS R comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm (1.7"") and a surface area of 864.00 mm²."
53,"Canon  5DS comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm (1.7"") and a surface area of 864.00 mm²."
54,"Canon  ELPH 350 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
55,"Canon  SX410 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
56,"Canon  SX710 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
57,"Canon  SX610 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
58,"Canon  SX530 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
59,"Canon  ELPH 170 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
60,"Canon  ELPH 160 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
61,"Canon IXUS 165 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
62,"Canon  7D Mark II comes with a  22.4 x 15 mm CMOS sensor, which has a diagonal of  26.96 mm (1.06"") and a surface area of 336.00 mm²."
63,"Canon  G7 X comes with a  13.2 x 8.8 mm CMOS sensor, which has a diagonal of  15.86 mm (0.62"") and a surface area of 116.16 mm²."
64,"Canon  SX60 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
65,"Canon  N2 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
66,"Canon  SX520 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
67,"Canon  SX400 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
68,"Canon  S200 comes with a  1/1.7"" (~ 7.53 x 5.64 mm) CMOS sensor, which has a diagonal of  9.41 mm (0.37"") and a surface area of 42.47 mm²."
69,"Canon  ELPH 150 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
70,"Canon  ELPH 140 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
71,"Canon  ELPH 135 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
72,"Canon  G1 X Mark II comes with a  1.5"" (~ 18.7 x 14 mm) CMOS sensor, which has a diagonal of  23.36 mm (0.92"") and a surface area of 261.80 mm²."
