ID,Attribute,Value
116,Articulated LCD,Tilting
116,Screen size,3″
116,Screen dots,"1,040,000"
116,Max shutter speed,1/2000 sec
116,Format,"MPEG-4, H.264"
116,Storage types,SD/SDHC/SDXC (UHS-I supported)
116,USB,USB 2.0 (480 Mbit/sec)
116,Weight (inc. batteries),327 g (0.72 lb / 11.53 oz)
116,Dimensions,112 x 69 x 42 mm (4.41 x 2.72 x 1.65″)
116,GPS,None
117,Body type,Ultracompact
117,Max resolution,4608 x 3456
117,Effective pixels,16 megapixels
117,Sensor size,"1/2.3"" (6.17 x 4.55 mm)"
117,Sensor type,BSI-CMOS
117,ISO,"Auto, 100-12800 (highest ISOs at lower resolution)"
117,Focal length (equiv.),28–140 mm
117,Max aperture,F3.9–4.9
117,Articulated LCD,Fixed
117,Screen size,3″
117,Screen dots,"920,000"
117,Max shutter speed,1/2000 sec
117,Format,"MPEG-4, H.264"
117,Storage types,Internal + SD/SDHC/SDXC card
117,USB,USB 2.0 (480 Mbit/sec)
117,Weight (inc. batteries),207 g (0.46 lb / 7.30 oz)
117,Dimensions,110 x 71 x 28 mm (4.33 x 2.8 x 1.1″)
117,GPS,None
118,Body type,SLR-style mirrorless
118,Max resolution,6240 x 4160
118,Effective pixels,26 megapixels
118,Sensor size,APS-C (23.5 x 15.6 mm)
118,Sensor type,BSI-CMOS
118,ISO,"Auto, 160-12800 (expands to 80-51200)"
118,Lens mount,Fujifilm X
118,Focal length mult.,1.5×
118,Articulated LCD,Tilting
118,Screen size,3″
118,Screen dots,"1,040,000"
118,Max shutter speed,1/4000 sec
118,Format,"MPEG-4, H.264"
118,Storage types,SD/SDHC/SDXC card (UHS-I supported)
118,USB,USB 3.2 Gen 1 (5 GBit/sec)
118,Weight (inc. batteries),383 g (0.84 lb / 13.51 oz)
118,Dimensions,118 x 83 x 47 mm (4.65 x 3.27 x 1.85″)
118,GPS,None
119,Body type,SLR-style mirrorless
119,Max resolution,6240 x 4160
119,Effective pixels,26 megapixels
119,Sensor size,Full frame (35.9 x 24 mm)
119,Sensor type,CMOS
119,ISO,"Auto, 100-40000 (expands to 50-102400)"
119,Lens mount,Canon RF
119,Focal length mult.,1×
119,Articulated LCD,Fully articulated
119,Screen size,3″
119,Screen dots,"1,040,000"
119,Max shutter speed,1/4000 sec
119,Format,"MPEG-4, H.264"
119,Storage types,SD/SDHC/SDXC card (UHS-II supported)
119,USB,USB 2.0 (480 Mbit/sec)
119,Weight (inc. batteries),485 g (1.07 lb / 17.11 oz)
119,Dimensions,133 x 85 x 70 mm (5.24 x 3.35 x 2.76″)
119,GPS,None
120,Body type,SLR-style mirrorless
120,Max resolution,6000 x 4000
120,Effective pixels,24 megapixels
120,Sensor size,Full frame (35.6 x 23.8 mm)
120,Sensor type,CMOS
120,ISO,"Auto, 100-51200 (expands to 50-204800)"
120,Lens mount,Leica L
120,Focal length mult.,1×
120,Articulated LCD,Tilting
120,Screen size,3.2″
120,Screen dots,"2,100,000"
120,Max shutter speed,1/8000 sec
120,Format,"MPEG-4, H.264, H.265"
120,Storage types,XQD + SD card slots; UHS-II supported
120,USB,USB 3.2 Gen 1 (5 GBit/sec)
120,Weight (inc. batteries),899 g (1.98 lb / 31.71 oz)
120,Dimensions,149 x 110 x 97 mm (5.87 x 4.33 x 3.82″)
120,GPS,None
121,Body type,SLR-style mirrorless
121,Max resolution,8368 x 5584
121,Effective pixels,47 megapixels
121,Sensor size,Full frame (36 x 24 mm)
121,Sensor type,CMOS
121,ISO,"Auto, 100-25600 (expands to 50-51200)"
121,Lens mount,Leica L
121,Focal length mult.,1×
121,Articulated LCD,Tilting
121,Screen size,3.2″
121,Screen dots,"2,100,000"
121,Max shutter speed,1/8000 sec
121,Format,"MPEG-4, H.264"
121,USB,USB 3.2 Gen 1 (5 GBit/sec)
121,Weight (inc. batteries),1020 g (2.25 lb / 35.98 oz)
121,Dimensions,149 x 110 x 97 mm (5.87 x 4.33 x 3.82″)
121,GPS,None
122,Body type,SLR-style mirrorless
122,Max resolution,5184 x 3888
122,Effective pixels,20 megapixels
122,Sensor size,Four Thirds (17.4 x 13 mm)
122,Sensor type,CMOS
122,ISO,"Auto, 200-25600 (expands down to 64)"
122,Lens mount,Micro Four Thirds
122,Focal length mult.,2×
122,Articulated LCD,Fully articulated
122,Screen size,3″
122,Screen dots,"1,037,000"
122,Max shutter speed,1/8000 sec
122,Format,"MPEG-4, H.264"
122,Storage types,Dual SD/SDHC/SDXC cards (UHS-II supported)
122,USB,USB 3.2 Gen 1 (5 GBit/sec)
122,Weight (inc. batteries),997 g (2.20 lb / 35.17 oz)
122,Dimensions,144 x 147 x 75 mm (5.67 x 5.79 x 2.95″)
122,GPS,Built-in
123,Body type,SLR-like (bridge)
123,Max resolution,4608 x 3456
123,Effective pixels,16 megapixels
123,Sensor size,"1/2.3"" (6.17 x 4.55 mm)"
123,Sensor type,BSI-CMOS
123,ISO,"Auto, 125-6400"
123,Focal length (equiv.),24–1440 mm
123,Max aperture,F3.3–6.5
123,Articulated LCD,Fixed
123,Screen size,3″
123,Screen dots,"921,000"
123,Max shutter speed,1/4000 sec
123,Format,"MPEG-4, H.264"
123,Storage types,Internal + SD/SDHC/SDXC card
123,USB,USB 2.0 (480 Mbit/sec)
123,Weight (inc. batteries),500 g (1.10 lb / 17.64 oz)
123,Dimensions,122 x 82 x 99 mm (4.8 x 3.23 x 3.9″)
123,GPS,None
124,Body type,Compact
124,Max resolution,4608 x 3456
124,Effective pixels,16 megapixels
124,Sensor size,"1/2.3"" (6.17 x 4.55 mm)"
124,Sensor type,BSI-CMOS
124,ISO,"Auto, 125-6400"
124,Focal length (equiv.),24–840 mm
124,Max aperture,F3.4–6.9
124,Articulated LCD,Tilting
124,Screen size,3″
124,Screen dots,"921,000"
124,Max shutter speed,1/4000 sec
124,Format,"MPEG-4, H.264"
124,Storage types,Internal + SD/SDHC/SDXC card
124,USB,USB 2.0 (480 Mbit/sec)
124,Weight (inc. batteries),330 g (0.73 lb / 11.64 oz)
124,Dimensions,114 x 72 x 41 mm (4.49 x 2.83 x 1.61″)
124,GPS,None
125,Body type,Rangefinder-style mirrorless
125,Max resolution,6000 x 4000
125,Effective pixels,24 megapixels
125,Sensor size,APS-C (23.5 x 15.6 mm)
125,Sensor type,CMOS
125,ISO,"Auto, 100-32000 (expands to 102800)"
125,Lens mount,Sony E
125,Focal length mult.,1.5×
125,Articulated LCD,Tilting
125,Screen size,3″
125,Screen dots,"921,600"
125,Max shutter speed,1/4000 sec
125,Format,"MPEG-4, H.264"
125,Storage types,SD/SDHC/SDXC/Memory Stick DUO (UHS-I compliant)
125,USB,USB 2.0 (480 Mbit/sec)
125,Weight (inc. batteries),403 g (0.89 lb / 14.22 oz)
125,Dimensions,120 x 67 x 60 mm (4.72 x 2.64 x 2.36″)
125,GPS,None
126,Body type,Large sensor compact
126,Max resolution,4736 x 3552
126,Effective pixels,17 megapixels
126,Sensor size,Four Thirds (17.3 x 13 mm)
126,Sensor type,CMOS
126,ISO,"Auto, 200-25600 (expands down to 100)"
126,Focal length (equiv.),24–75 mm
126,Max aperture,F1.7–2.8
126,Articulated LCD,Fixed
126,Screen size,3″
126,Screen dots,"1,240,000"
126,Max shutter speed,1/4000 sec
126,Format,"MPEG-4, AVCHD, H.264"
126,Storage types,SD/SDHC/SDXC (UHS-I supported)
126,USB,USB 2.0 (480 Mbit/sec)
126,Weight (inc. batteries),403 g (0.89 lb / 14.22 oz)
126,Dimensions,118 x 66 x 64 mm (4.65 x 2.6 x 2.52″)
126,GPS,None
129,Body type,Compact
129,Max resolution,4608 x 3456
129,Effective pixels,16 megapixels
129,Sensor size,"1/2.3"" (6.17 x 4.55 mm)"
129,Sensor type,BSI-CMOS
129,ISO,"Auto, 125-6400"
129,Focal length (equiv.),28–140 mm
129,Max aperture,F3.5–5.5
129,Articulated LCD,Fixed
129,Screen size,2.7″
129,Screen dots,"230,000"
129,Max shutter speed,1/4000 sec
129,Format,"MPEG-4, H.264"
129,Storage types,Internal + SD/SDHC/SDXC card
129,USB,USB 2.0 (480 Mbit/sec)
129,Weight (inc. batteries),193 g (0.43 lb / 6.81 oz)
129,Dimensions,123 x 62 x 30 mm (4.84 x 2.44 x 1.18″)
129,GPS,None
130,Body type,Rangefinder-style mirrorless
130,Max resolution,5952 x 3992
130,Effective pixels,24 megapixels
130,Sensor size,Full frame (35.8 x 23.9 mm)
130,Sensor type,CMOS
130,ISO,"Auto, 100-50000"
130,Lens mount,Leica M
130,Focal length mult.,1×
130,Articulated LCD,No
130,Max shutter speed,1/4000 sec
130,Storage types,SD/SDHC/SDXC
130,Weight (inc. batteries),660 g (1.46 lb / 23.28 oz)
130,Dimensions,139 x 38 x 80 mm (5.47 x 1.5 x 3.15″)
130,GPS,Optional
131,Body type,Large sensor compact
131,Max resolution,7488 x 4992
131,Effective pixels,37 megapixels
131,Sensor size,Full frame (36 x 24 mm)
131,Sensor type,CMOS
131,ISO,"Auto, 80-51200"
131,Focal length (equiv.),35 mm
131,Max aperture,F2–22
131,Articulated LCD,Fully articulated
131,Screen size,4.34″
131,Screen dots,"2,764,800"
131,Max shutter speed,1/2000 sec
131,Format,"MPEG-4, H.264"
131,Storage types,512GB internal
131,USB,USB 3.2 Gen 1 (5 GBit/sec)
131,Weight (inc. batteries),800 g (1.76 lb / 28.22 oz)
131,Dimensions,142 x 93 x 46 mm (5.59 x 3.66 x 1.81″)
131,GPS,None
132,Body type,Rangefinder-style mirrorless
132,Max resolution,8256 x 6192
132,Effective pixels,51 megapixels
132,Sensor size,Medium format (44 x 33 mm)
132,Sensor type,CMOS
132,ISO,"Auto, 100-12800 (expands up to 102400)"
132,Focal length mult.,0.79×
132,Articulated LCD,Tilting
132,Screen size,3.2″
132,Screen dots,"2,360,000"
132,Max shutter speed,1/4000 sec
132,Format,"MPEG-4, H.264"
132,Storage types,"SD/SDHC/SDXC (dual slots, UHS-II supported)"
132,USB,USB 3.0 (5 GBit/sec)
132,Weight (inc. batteries),775 g (1.71 lb / 27.34 oz)
132,Dimensions,161 x 97 x 66 mm (6.34 x 3.82 x 2.6″)
132,GPS,None
133,Body type,Large sensor compact
133,Max resolution,6000 x 4000
133,Effective pixels,24 megapixels
133,Sensor size,APS-C (23.5 x 15.6 mm)
133,Sensor type,CMOS
133,Focal length (equiv.),28 mm
133,Max aperture,F2.8–16
133,Articulated LCD,Fixed
133,Screen size,3″
133,Screen dots,"1,037,000"
133,Max shutter speed,1/4000 sec
133,Format,"MPEG-4, H.264"
133,Storage types,"Internal, SD/SDHC/SDXC (UHS-I supported)"
133,USB,USB 3.0 (5 GBit/sec)
133,Weight (inc. batteries),257 g (0.57 lb / 9.07 oz)
133,Dimensions,109 x 62 x 33 mm (4.29 x 2.44 x 1.3″)
133,GPS,None
134,Body type,VR/Action camera
134,Effective pixels,12 megapixels
134,Sensor type,CMOS
134,Articulated LCD,Fixed
134,Screen size,2″
134,Format,"H.264, H.265"
134,USB,USB 3.0 (5 GBit/sec)
134,Weight (inc. batteries),116 g (0.26 lb / 4.09 oz)
134,Dimensions,62 x 45 x 33 mm (2.45 x 1.77 x 1.3″)
134,GPS,Built-in
137,Body type,SLR-like (bridge)
137,Max resolution,5184 x 3888
137,Effective pixels,20 megapixels
137,Sensor size,"1/2.3"" (6.17 x 4.55 mm)"
137,Sensor type,BSI-CMOS
137,ISO,"Auto, 100-3200"
137,Focal length (equiv.),21–1365 mm
137,Max aperture,F3.4–6.5
137,Articulated LCD,Fully articulated
137,Screen size,3″
137,Screen dots,"922,000"
137,Max shutter speed,1/2000 sec
137,Format,"MPEG-4, H.264"
137,Storage types,SD/SDHC/SDXC (UHS-I supported)
137,USB,USB 2.0 (480 Mbit/sec)
137,Weight (inc. batteries),608 g (1.34 lb / 21.45 oz)
137,Dimensions,127 x 91 x 117 mm (5 x 3.58 x 4.61″)
137,GPS,None
138,Body type,SLR-style mirrorless
138,Max resolution,6240 x 4160
138,Effective pixels,26 megapixels
138,Sensor size,APS-C (23.5 x 15.6 mm)
138,Sensor type,BSI-CMOS
138,ISO,"Auto, 160-12800 (expands to 80-51200)"
138,Lens mount,Fujifilm X
138,Focal length mult.,1.5×
138,Articulated LCD,Tilting
138,Screen size,3″
138,Screen dots,"1,040,000"
138,Max shutter speed,1/8000 sec
138,Format,"MPEG-4, H.264, H.265"
138,USB,USB 3.2 Gen 1 (5 GBit/sec)
138,Weight (inc. batteries),539 g (1.19 lb / 19.01 oz)
138,Dimensions,133 x 93 x 59 mm (5.24 x 3.66 x 2.32″)
138,GPS,None
139,Body type,SLR-style mirrorless
139,Max resolution,6720 x 4480
139,Effective pixels,30 megapixels
139,Sensor size,Full frame (36 x 24 mm)
139,Sensor type,CMOS
139,ISO,"Auto, 100-40000 (expands to 50-102400)"
139,Lens mount,Canon RF
139,Focal length mult.,1×
139,Articulated LCD,Fully articulated
139,Screen size,3.2″
139,Screen dots,"2,100,000"
139,Max shutter speed,1/8000 sec
139,Format,"MPEG-4, H.264"
139,Storage types,SD card (UHS-II supported)
139,USB,USB 3.2 Gen 1 (5 GBit/sec)
139,Weight (inc. batteries),660 g (1.46 lb / 23.28 oz)
139,Dimensions,136 x 98 x 84 mm (5.35 x 3.86 x 3.31″)
139,GPS,None
140,Body type,Compact
140,Max resolution,4896 x 3672
140,Effective pixels,18 megapixels
140,Sensor size,"1/2.3"" (6.17 x 4.55 mm)"
140,Sensor type,BSI-CMOS
140,ISO,"Auto, 80-12800"
140,Focal length (equiv.),24–720 mm
140,Max aperture,F3.5–6.4
140,Articulated LCD,Tilting
140,Screen size,3″
140,Screen dots,"921,000"
140,Max shutter speed,1/2000 sec
140,Format,"AVCHD, XAVC S"
140,Storage types,"SD/SDHC/SDXC, Memory Stick Duo"
140,USB,USB 2.0 (480 Mbit/sec)
140,Weight (inc. batteries),242 g (0.53 lb / 8.54 oz)
140,Dimensions,102 x 58 x 36 mm (4.02 x 2.28 x 1.42″)
140,GPS,None
141,Body type,Compact
141,Max resolution,4896 x 3672
141,Effective pixels,18 megapixels
141,Sensor size,"1/2.3"" (6.17 x 4.55 mm)"
141,Sensor type,BSI-CMOS
141,ISO,"Auto, 80-12800"
141,Focal length (equiv.),24–720 mm
141,Max aperture,F3.5–6.4
141,Articulated LCD,Tilting
141,Screen size,3″
141,Screen dots,"921,000"
141,Max shutter speed,1/2000 sec
141,Format,"AVCHD, XAVC S"
141,Storage types,"Micro SD/SDHC/SDXC, Memory Stick Micro"
141,USB,USB 2.0 (480 Mbit/sec)
141,Weight (inc. batteries),242 g (0.53 lb / 8.54 oz)
141,Dimensions,102 x 58 x 36 mm (4.02 x 2.28 x 1.42″)
141,GPS,None
142,Body type,Compact SLR
142,Max resolution,6000 x 4000
142,Effective pixels,24 megapixels
142,Sensor size,APS-C (23.5 x 15.6 mm)
142,Sensor type,CMOS
142,ISO,"Auto, 100-25600"
142,Lens mount,Nikon F
142,Focal length mult.,1.5×
142,Articulated LCD,Fixed
142,Screen size,3″
142,Screen dots,"921,000"
142,Max shutter speed,1/4000 sec
142,Format,"MPEG-4, H.264"
142,Storage types,SD/SDHC/SDXC
142,USB,USB 2.0 (480 Mbit/sec)
142,Weight (inc. batteries),365 g (0.80 lb / 12.87 oz)
142,Dimensions,124 x 97 x 70 mm (4.88 x 3.82 x 2.76″)
142,GPS,None
143,Body type,SLR-style mirrorless
143,Max resolution,8256 x 5504
143,Effective pixels,46 megapixels
143,Sensor size,Full frame (35.9 x 23.9 mm)
143,Sensor type,CMOS
143,ISO,"Auto, 64-25600 (expands to 32-102400)"
143,Lens mount,Nikon Z
143,Focal length mult.,1×
143,Articulated LCD,Tilting
143,Screen size,3.2″
143,Screen dots,"2,100,000"
143,Max shutter speed,1/8000 sec
143,Format,"MPEG-4, H.264"
143,Storage types,XQD card
143,USB,USB 3.2 Gen 1 (5 GBit/sec)
143,Weight (inc. batteries),675 g (1.49 lb / 23.81 oz)
143,Dimensions,134 x 101 x 68 mm (5.28 x 3.98 x 2.68″)
143,GPS,None
144,Body type,SLR-style mirrorless
144,Max resolution,6048 x 4024
144,Effective pixels,25 megapixels
144,Sensor size,Full frame (35.9 x 23.9 mm)
144,Sensor type,BSI-CMOS
144,ISO,"Auto, 100-51200 (expands to 50-204800)"
144,Lens mount,Nikon Z
144,Focal length mult.,1×
144,Articulated LCD,Tilting
144,Screen size,3.2″
144,Screen dots,"2,100,000"
144,Max shutter speed,1/8000 sec
144,Format,"MPEG-4, H.264"
144,Storage types,XQD card
144,USB,USB 3.2 Gen 1 (5 GBit/sec)
144,Weight (inc. batteries),675 g (1.49 lb / 23.81 oz)
144,Dimensions,134 x 101 x 68 mm (5.28 x 3.98 x 2.68″)
144,GPS,None
145,Body type,Large sensor compact
145,Max resolution,4736 x 3552
145,Effective pixels,17 megapixels
145,Sensor size,Four Thirds (17.3 x 13 mm)
145,Sensor type,CMOS
145,ISO,"Auto, 200-25600 (expands down to 100)"
145,Focal length (equiv.),24–75 mm
145,Max aperture,F1.7–2.8
145,Focal length mult.,2×
145,Articulated LCD,Fixed
145,Screen size,3″
145,Screen dots,"1,240,000"
145,Max shutter speed,1/4000 sec
145,Format,"MPEG-4, AVCHD, H.264"
145,Storage types,SD/SDHC/SDXC (UHS-I supported)
145,USB,USB 2.0 (480 Mbit/sec)
145,Weight (inc. batteries),392 g (0.86 lb / 13.83 oz)
145,Dimensions,115 x 66 x 64 mm (4.53 x 2.6 x 2.52″)
145,GPS,None
146,Body type,Rangefinder-style mirrorless
146,Max resolution,5952 x 3992
146,Effective pixels,24 megapixels
146,Sensor size,Full frame (35.8 x 23.9 mm)
146,Sensor type,CMOS
146,ISO,"Auto, 100-50000"
146,Lens mount,Leica M
146,Focal length mult.,1×
146,Articulated LCD,Fixed
146,Screen size,3″
146,Screen dots,"1,036,800"
146,Max shutter speed,1/4000 sec
146,Storage types,SD/SDHC/SDXC
146,Weight (inc. batteries),660 g (1.46 lb / 23.28 oz)
146,Dimensions,139 x 39 x 80 mm (5.47 x 1.54 x 3.15″)
146,GPS,Optional
147,Body type,Ultracompact
147,Max resolution,5184 x 3888
147,Effective pixels,21 megapixels
147,Sensor size,"1/2.3"" (6.17 x 4.55 mm)"
147,Sensor type,BSI-CMOS
147,ISO,"Auto, 100-3200"
147,Focal length (equiv.),24–960 mm
147,Max aperture,F3.3–6.9
147,Articulated LCD,Tilting
147,Screen size,3″
147,Screen dots,"922,000"
147,Max shutter speed,1/3200 sec
147,Format,"MPEG-4, H.264"
147,Storage types,SD/SDHC/SDXC card (UHS-I compatible)
147,USB,USB 2.0 (480 Mbit/sec)
147,Weight (inc. batteries),299 g (0.66 lb / 10.55 oz)
147,Dimensions,110 x 64 x 40 mm (4.33 x 2.52 x 1.57″)
147,GPS,None
148,Body type,Compact
148,Max resolution,6000 x 4000
148,Effective pixels,24 megapixels
148,Sensor size,APS-C (23.5 x 15.7 mm)
148,Sensor type,CMOS
148,ISO,"Auto, 200-12800 (expands to 100-51200)"
148,Focal length (equiv.),28 mm
148,Max aperture,F2.8–16
148,Articulated LCD,Fixed
148,Screen size,3″
148,Screen dots,"1,040,000"
148,Max shutter speed,1/4000 sec
148,Format,"MPEG-4, H.264"
148,Storage types,SD/SDHC/SDXC card (UHS-I supported)
148,USB,USB 2.0 (480 Mbit/sec)
148,Weight (inc. batteries),279 g (0.62 lb / 9.84 oz)
148,Dimensions,113 x 64 x 41 mm (4.45 x 2.52 x 1.61″)
149,Body type,Compact
149,Max resolution,5472 x 3648
149,Effective pixels,20 megapixels
149,Sensor size,1″ (13.2 x 8.8 mm)
149,Sensor type,Stacked CMOS
149,ISO,"Auto, 125-12800"
149,Focal length (equiv.),24–70 mm
149,Max aperture,F1.8–2.8
149,Articulated LCD,Tilting
149,Screen size,3″
149,Screen dots,"1,228,800"
149,Max shutter speed,1/2000 sec
149,Format,"MPEG-4, AVCHD, XAVC S"
149,Storage types,"SD/ SDHC/SDXC, Memory Stick Pro Duo/ Pro-HG Duo"
149,USB,USB 2.0 (480 Mbit/sec)
149,Weight (inc. batteries),299 g (0.66 lb / 10.55 oz)
149,Dimensions,102 x 58 x 41 mm (4.02 x 2.28 x 1.61″)
149,GPS,None
150,Body type,SLR-like (bridge)
150,Max resolution,4608 x 3456
150,Effective pixels,16 megapixels
150,Sensor size,"1/2.3"" (6.17 x 4.55 mm)"
150,Sensor type,BSI-CMOS
150,ISO,"Auto, 100-6400"
150,Focal length (equiv.),24–3000 mm
150,Max aperture,F2.8–8
150,Articulated LCD,Fully articulated
150,Screen size,3.2″
150,Screen dots,"921,000"
150,Max shutter speed,1/4000 sec
150,Format,"MPEG-4, H.264"
150,Storage types,SD/SDHC/SDXC (UHS-I support)
150,USB,USB 2.0 (480 Mbit/sec)
150,Weight (inc. batteries),1415 g (3.12 lb / 49.91 oz)
150,Dimensions,146 x 119 x 181 mm (5.75 x 4.69 x 7.13″)
150,GPS,None
151,Body type,Large sensor compact
151,Max resolution,5472 x 3648
151,Effective pixels,20 megapixels
151,Sensor size,1″ (13.2 x 8.8 mm)
151,Sensor type,CMOS
151,ISO,"Auto, 125-12800 (expands to 80-25600)"
151,Focal length (equiv.),24–360 mm
151,Max aperture,F3.3–6.4
151,Articulated LCD,Fixed
151,Screen size,3″
151,Screen dots,"1,240,000"
151,Max shutter speed,1/2000 sec
151,Format,"MPEG-4, AVCHD, H.264"
151,Storage types,SD/SDHC/SDXC card (UHS-I compatible)
151,USB,USB 2.0 (480 Mbit/sec)
151,Weight (inc. batteries),340 g (0.75 lb / 11.99 oz)
151,Dimensions,113 x 67 x 46 mm (4.45 x 2.64 x 1.81″)
151,GPS,None
152,Body type,Compact
152,Max resolution,5472 x 3648
152,Effective pixels,20 megapixels
152,Sensor size,1″ (13.2 x 8.8 mm)
152,Sensor type,Stacked CMOS
152,ISO,"Auto, 125-12800"
152,Focal length (equiv.),24–200 mm
152,Max aperture,F2.8–4.5
152,Articulated LCD,Tilting
152,Screen size,3″
152,Screen dots,"1,228,800"
152,Max shutter speed,1/2000 sec
152,Format,"MPEG-4, AVCHD, XAVC S"
152,Storage types,"SD/ SDHC/SDXC, Memory Stick Pro Duo/ Pro-HG Duo"
152,USB,USB 2.0 (480 Mbit/sec)
152,Weight (inc. batteries),301 g (0.66 lb / 10.62 oz)
152,Dimensions,102 x 58 x 43 mm (4.02 x 2.28 x 1.69″)
152,GPS,None
153,Body type,SLR-style mirrorless
153,Max resolution,6000 x 4000
153,Effective pixels,24 megapixels
153,Sensor size,APS-C (23.5 x 15.7 mm)
153,Sensor type,CMOS
153,ISO,"Auto, 200-12800 (expands to 100-51200)"
153,Lens mount,Fujifilm X
153,Focal length mult.,1.5×
153,Articulated LCD,Tilting
153,Screen size,3″
153,Screen dots,"1,040,000"
153,Max shutter speed,1/4000 sec
153,Format,"MPEG-4, H.264"
153,Storage types,SD/ SDHC/SDXC (UHS-I compatible)
153,USB,USB 2.0 (480 Mbit/sec)
153,Weight (inc. batteries),448 g (0.99 lb / 15.80 oz)
153,Dimensions,121 x 83 x 47 mm (4.76 x 3.27 x 1.85″)
153,GPS,None
154,Body type,Compact
154,Max resolution,5184 x 3888
154,Effective pixels,20 megapixels
154,Sensor size,"1/2.3"" (6.17 x 4.55 mm)"
154,Sensor type,BSI-CMOS
154,ISO,"Auto, 80-3200 (expands to 6400)"
154,Focal length (equiv.),28–128 mm
154,Max aperture,F3.3–5.9
154,Focal length mult.,5.65×
154,Articulated LCD,Fixed
154,Screen size,3″
154,Screen dots,"1,040,000"
154,Max shutter speed,1/1300 sec
154,Format,"MPEG-4, H.264"
154,Storage types,SD/SDHC/SDXC (UHS-I supported)
154,USB,USB 2.0 (480 Mbit/sec)
154,Weight (inc. batteries),319 g (0.70 lb / 11.25 oz)
154,Dimensions,117 x 76 x 37 mm (4.61 x 2.99 x 1.46″)
154,GPS,None
155,Body type,SLR-style mirrorless
155,Max resolution,6000 x 4000
155,Effective pixels,24 megapixels
155,Sensor size,Full frame (35.8 x 23.8 mm)
155,Sensor type,BSI-CMOS
155,ISO,"Auto, 100-51200"
155,Lens mount,Sony E
155,Focal length mult.,1×
155,Articulated LCD,Tilting
155,Screen size,3″
155,Screen dots,"921,600"
155,Max shutter speed,1/8000 sec
155,Format,"MPEG-4, AVCHD, XAVC S, H.264"
155,Storage types,"SD/SDHC/SDXC, Memory Stick Duo/Pro Duo/Pro-HG Duo"
155,USB,USB 3.2 Gen 1 (5 GBit/sec)
155,Weight (inc. batteries),650 g (1.43 lb / 22.93 oz)
155,Dimensions,127 x 96 x 74 mm (5 x 3.78 x 2.91″)
155,GPS,None
156,Body type,SLR-style mirrorless
156,Max resolution,6000 x 4000
156,Effective pixels,24 megapixels
156,Sensor size,APS-C (22.3 x 14.9 mm)
156,Sensor type,CMOS
156,ISO,"Auto, 100-25600 (expands to 51200)"
156,Lens mount,Canon EF-M
156,Focal length mult.,1.6×
156,Articulated LCD,Fully articulated
156,Screen size,3″
156,Screen dots,"1,040,000"
156,Max shutter speed,1/4000 sec
156,Format,"MPEG-4, H.264"
156,Storage types,SD/SDHC/SDXC slot (UHS-I compatible)
156,USB,USB 2.0 (480 Mbit/sec)
156,Weight (inc. batteries),390 g (0.86 lb / 13.76 oz)
156,Dimensions,116 x 88 x 59 mm (4.57 x 3.46 x 2.32″)
156,GPS,None
157,Body type,Compact SLR
157,Max resolution,6000 x 4000
157,Effective pixels,24 megapixels
157,Sensor size,APS-C (22.3 x 14.9 mm)
157,Sensor type,CMOS
157,ISO,"Auto, ISO 100-6400, expandable to 12800"
157,Lens mount,Canon EF/EF-S
157,Focal length mult.,1.6×
157,Articulated LCD,Fixed
157,Screen size,3″
157,Screen dots,"920,000"
157,Max shutter speed,1/4000 sec
157,Format,"MPEG-4, H.264"
157,Storage types,SD/SDHC/SDXC card
157,USB,USB 2.0 (480 Mbit/sec)
157,Weight (inc. batteries),475 g (1.05 lb / 16.76 oz)
157,Dimensions,129 x 101 x 78 mm (5.08 x 3.98 x 3.07″)
157,GPS,None
159,Body type,Mid-size SLR
159,Max resolution,7360 x 4912
159,Effective pixels,36 megapixels
159,Sensor size,Full frame (35.9 x 24 mm)
159,Sensor type,CMOS
159,ISO,"Auto, 100-819200"
159,Lens mount,Pentax KAF4
159,Focal length mult.,1×
159,Articulated LCD,Tilting
159,Screen size,3.2″
159,Screen dots,"1,037,000"
159,Max shutter speed,1/8000 sec
159,Format,"MPEG-4, H.264"
159,Storage types,Dual SD/SDHC/SDXC (UHS-I)
159,USB,USB 2.0 (480 Mbit/sec)
159,Weight (inc. batteries),1010 g (2.23 lb / 35.63 oz)
159,Dimensions,137 x 110 x 86 mm (5.39 x 4.33 x 3.39″)
159,GPS,Built-in
160,Body type,SLR-style mirrorless
160,Max resolution,6000 x 4000
160,Effective pixels,24 megapixels
160,Sensor size,APS-C (23.5 x 15.6 mm)
160,Sensor type,CMOS
160,ISO,"Auto, 200-12800 (expands to 100-51200)"
160,Lens mount,Fujifilm X
160,Focal length mult.,1.5×
160,Articulated LCD,Tilting
160,Screen size,3″
160,Screen dots,"1,040,000"
160,Max shutter speed,1/8000 sec
160,Format,"MPEG-4, H.264"
160,Storage types,Dual SD/SDHC/SDXC (UHS-II compatible)
160,USB,USB 3.0 (5 GBit/sec)
160,Weight (inc. batteries),673 g (1.48 lb / 23.74 oz)
160,Dimensions,140 x 97 x 86 mm (5.51 x 3.82 x 3.39″)
160,GPS,None
161,Body type,Rangefinder-style mirrorless
161,Max resolution,5184 x 3888
161,Effective pixels,20 megapixels
161,Sensor size,Four Thirds (17.3 x 13 mm)
161,Sensor type,CMOS
161,ISO,"Auto, 200-25600 (expands down to 100)"
161,Lens mount,Micro Four Thirds
161,Focal length mult.,2×
