ID,Attribute,Value
9,Dimensions,121 x 72 x 54 mm (4.76 x 2.83 x 2.13″)
9,GPS,None
10,Body type,SLR-style mirrorless
10,Max resolution,6000 x 4000
10,Effective pixels,24 megapixels
10,Sensor size,Full frame (36 x 24 mm)
10,Sensor type,CMOS
10,ISO,100-102400
10,Lens mount,Canon RF
10,Articulated LCD,Fully articulated
10,Screen size,3″
10,Screen dots,"1,620,000"
10,Max shutter speed,1/4000 sec
10,Format,"H.264, H.265"
10,USB,USB 3.2 Gen 2 (10 GBit/sec)
10,Weight (inc. batteries),461 g (1.02 lb / 16.26 oz)
10,Dimensions,133 x 86 x 70 mm (5.24 x 3.39 x 2.76″)
11,Body type,SLR-style mirrorless
11,Max resolution,6000 x 4000
11,Effective pixels,24 megapixels
11,Sensor size,APS-C (22.3 x 14.9 mm)
11,Sensor type,CMOS
11,ISO,100-32000
11,Lens mount,Canon RF
11,Articulated LCD,Fully articulated
11,Screen size,3″
11,Max shutter speed,1/4000 sec
11,Format,"H.264, H.265"
11,USB,USB 3.2 Gen 2 (10 GBit/sec)
11,Weight (inc. batteries),375 g (0.83 lb / 13.23 oz)
11,Dimensions,116 x 86 x 69 mm (4.57 x 3.39 x 2.72″)
11,GPS,None
12,Body type,SLR-style mirrorless
12,Max resolution,6000 x 4000
12,Effective pixels,24 megapixels
12,Sensor size,Full frame (35.6 x 23.8 mm)
12,Sensor type,CMOS
12,Lens mount,Leica L
12,Articulated LCD,Fully articulated
12,Screen size,3″
12,Max shutter speed,60 sec
12,Format,"MPEG-4, H.264, H.265"
12,Storage types,Dual SD card slots
12,USB,USB 3.2 Gen 2 (10 GBit/sec)
12,Weight (inc. batteries),740 g (1.63 lb / 26.10 oz)
12,Dimensions,134 x 102 x 90 mm (5.29 x 4.03 x 3.55″)
12,GPS,None
14,Body type,Compact SLR
14,Max resolution,6000 x 4000
14,Effective pixels,24 megapixels
14,Sensor size,APS-C (23.5 x 15.6 mm)
14,Sensor type,CMOS
14,ISO,"Auto, 100-102400"
14,Lens mount,Pentax KAF2
14,Focal length mult.,1.5×
14,Articulated LCD,Fully articulated
14,Screen size,3″
14,Screen dots,"1,037,000"
14,Max shutter speed,1/6000 sec
14,Format,"MPEG-4, H.264"
14,Storage types,SD/SDHC/SDXC (UHS-I compatible)
14,USB,USB 2.0 (480 Mbit/sec)
14,Weight (inc. batteries),688 g (1.52 lb / 24.27 oz)
14,Dimensions,126 x 93 x 74 mm (4.94 x 3.66 x 2.91″)
14,GPS,Optional
15,Body type,SLR-style mirrorless
15,Max resolution,7728 x 5152
15,Effective pixels,40 megapixels
15,Sensor size,APS-C (23.5 x 15.6 mm)
15,Sensor type,BSI-CMOS
15,ISO,"Auto, 125-12,800 (Expands to 64-51200)"
15,Lens mount,Fujifilm X
15,Focal length mult.,1.5×
